age,gender,gender_num,race4,race_num,contrib_donate,Contribute_num,faminc_new,incom_num,vchoice_rematch,vchoice_num,employ,employ_num,abrtpre_standard,Abort_num,socdesir_lies,lies_num,secular_reason,secular_num,pew_churatd,Chuch_num,school_racism,racism_num,school_gender,schoolgen_num,trust_soctrust,trust_num,border_legal,border_num,aid_ukraine,ukraine_num,aid_israel,isreal_num,aid_palest,aid_palest_num,
58,Female,2,White,3,No,0,"$40,000 - $49,999",5,Donald Trump,2,Unemployed,3,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Never,5,Religious beliefs,3,Seldom,2,None at all,3,None at all,5,Some of the time,4,Somewhat harder,4,Strongly oppose,1,Neither favor nor oppose,3,Strongly favor,5,
77,Male,1,Black,1,Yes,1,"$100,000 - $119,999",11,Joe Biden,1,Retired,5,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Moderately often,3,Both equally,2,Once or twice a month,4,A great deal,2,A lot,2,About half the time,3,Somewhat harder,4,Strongly favor,5,Somewhat oppose,2,Strongly favor,5,
66,Female,2,White,3,Yes,1,"$10,000 - $19,999",2,Donald Trump,2,Retired,5,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Both equally,2,Never,1,A moderate amount,2,None at all,5,Some of the time,4,Somewhat easier,2,Strongly favor,5,Neither favor nor oppose,3,Somewhat favor,4,
62,Male,1,White,3,Yes,1,"$30,000 - $39,999",4,Joe Biden,1,Part-time,2,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,A few times a year,3,A great deal,1,A moderate amount,3,Some of the time,4,A lot easier,1,Strongly favor,5,Neither favor nor oppose,3,Strongly favor,5,
67,Female,2,Black,1,No,0,"$50,000 - $59,999",6,Donald Trump,2,Retired,5,"The law should permit abortion for reasons other than rape,",3,Rarely,4,Reason and evidence,1,A few times a year,3,A great deal,1,A lot,2,Some of the time,4,Somewhat harder,4,Strongly oppose,1,Neither favor nor oppose,3,Neither favor nor oppose,3,
55,Female,2,White,3,Yes,1,"$40,000 - $49,999",5,Joe Biden,1,Other,8,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Never,1,A great deal,1,A great deal,1,About half the time,3,A lot easier,1,Somewhat favor,4,Somewhat oppose,2,Somewhat favor,4,
64,Female,2,White,3,No,0,"$120,000 - $149,999",3,Joe Biden,1,Retired,5,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Never,1,A great deal,1,A little,4,About half the time,3,Somewhat harder,4,Somewhat favor,4,Somewhat favor,4,Somewhat favor,4,
74,Female,2,White,3,No,0,"$70,000 - $79,999",8,Joe Biden,1,Part-time,2,"The law should permit abortion for reasons other than rape,",3,Rarely,4,Both equally,2,Once or twice a month,4,A moderate amount,2,A moderate amount,3,Most of the time,2,Somewhat harder,4,Somewhat favor,4,Somewhat oppose,2,Somewhat favor,4,
26,Female,2,White,3,Yes,1,"$50,000 - $59,999",6,Joe Biden,1,Full-time,1,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Never,5,Reason and evidence,1,Once or twice a month,4,A moderate amount,1,A moderate amount,3,Most of the time,2,About the same,3,Strongly favor,5,Somewhat favor,4,Somewhat favor,4,
53,Male,1,Black,1,Yes,1,"$50,000 - $59,999",6,Joe Biden,1,Part-time,2,"The law should permit abortion for reasons other than rape,",3,Moderately often,3,Reason and evidence,1,Once a week,5,A lot,1,A moderate amount,3,About half the time,3,Somewhat harder,4,Strongly favor,5,Strongly favor,5,Somewhat favor,4,
70,Female,2,White,3,No,0,"$10,000 - $19,999",2,Joe Biden,1,Retired,5,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Both equally,2,A few times a year,3,A moderate amount,2,A moderate amount,3,About half the time,3,About the same,3,Somewhat favor,4,Somewhat favor,4,Strongly favor,5,
34,Male,1,White,3,No,0,"$80,000 - $99,999",9,Donald Trump,2,Full-time,1,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Rarely,4,Reason and evidence,1,Never,1,None at all,1,None at all,5,About half the time,3,A lot harder,5,Strongly oppose,1,Strongly oppose,1,Strongly oppose,1,
80,Male,1,White,3,Yes,1,"$30,000 - $39,999",4,Donald Trump,2,Retired,5,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Rarely,4,Both equally,2,A few times a year,3,None at all,2,None at all,5,Most of the time,2,A lot harder,5,Somewhat favor,4,Strongly favor,5,Strongly oppose,1,
58,Male,1,White,3,No,0,"$70,000 - $79,999",8,Joe Biden,1,Other,8,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Never,5,Reason and evidence,1,Never,1,A lot,1,A moderate amount,3,Most of the time,2,A lot easier,1,Somewhat favor,4,Somewhat oppose,2,Strongly favor,5,
68,Male,1,White,3,No,0,"$70,000 - $79,999",8,Joe Biden,1,Part-time,2,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Moderately often,3,Reason and evidence,1,Seldom,2,A little,1,A little,4,Most of the time,2,About the same,3,Strongly favor,5,Strongly favor,5,Somewhat oppose,2,
55,Female,2,White,3,No,0,"$20,000 - $29,999",3,Joe Biden,1,Other,8,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Both equally,2,A few times a year,3,A moderate amount,2,A moderate amount,3,Most of the time,2,Somewhat easier,2,Strongly favor,5,Neither favor nor oppose,3,Neither favor nor oppose,3,
67,Male,1,White,3,No,0,"$10,000 - $19,999",2,Joe Biden,1,Unemployed,3,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Never,5,Both equally,2,Never,1,A moderate amount,2,A little,4,Most of the time,2,About the same,3,Strongly favor,5,Strongly favor,5,Strongly favor,5,
69,Male,1,White,3,No,0,"$100,000 - $119,999",11,Joe Biden,1,Full-time,1,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Never,5,Reason and evidence,1,Never,1,A moderate amount,1,None at all,5,Most of the time,2,Somewhat harder,4,Strongly favor,5,Neither favor nor oppose,3,Neither favor nor oppose,3,
73,Female,2,White,3,No,0,"$50,000 - $59,999",6,Donald Trump,2,Retired,5,"By law, abortion should never be permitted.",1,Rarely,4,Both equally,2,More than once a week,6,A moderate amount,2,None at all,5,Most of the time,2,Somewhat harder,4,Somewhat oppose,2,Neither favor nor oppose,3,Somewhat favor,4,
21,Female,2,White,3,No,0,"$20,000 - $29,999",3,Joe Biden,1,Full-time,1,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Moderately often,3,Reason and evidence,1,Seldom,2,A great deal,1,A little,4,Some of the time,4,Somewhat easier,2,Somewhat favor,4,Strongly oppose,1,Strongly favor,5,
65,Female,2,White,3,Yes,1,"$70,000 - $79,999",8,Joe Biden,1,Part-time,2,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Once or twice a month,4,A moderate amount,1,A little,4,Most of the time,2,Somewhat easier,2,Strongly favor,5,Somewhat oppose,2,Strongly favor,5,
59,Male,1,White,3,No,0,"$20,000 - $29,999",3,Donald Trump,2,Full-time,1,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Rarely,4,Both equally,2,Seldom,2,A little,2,None at all,5,About half the time,3,Somewhat harder,4,Neither favor nor oppose,3,Somewhat favor,4,Somewhat oppose,2,
71,Female,2,White,3,No,0,"$60,000 - $69,999",7,Joe Biden,1,Retired,5,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Never,1,A moderate amount,1,A moderate amount,3,Most of the time,2,About the same,3,Strongly favor,5,Strongly oppose,1,Neither favor nor oppose,3,
32,Female,2,White,3,No,0,"$30,000 - $39,999",4,Donald Trump,2,Full-time,1,"The law should permit abortion for reasons other than rape,",3,Rarely,4,Both equally,2,Once or twice a month,4,A moderate amount,2,A moderate amount,3,Never,5,Somewhat harder,4,Neither favor nor oppose,3,Neither favor nor oppose,3,Neither favor nor oppose,3,
66,Female,2,White,3,Yes,1,"$120,000 - $149,999",3,Joe Biden,1,Retired,5,Other,5,Never,5,Both equally,2,A few times a year,3,A lot,2,None at all,5,Most of the time,2,About the same,3,Strongly favor,5,Neither favor nor oppose,3,Strongly favor,5,
72,Female,2,White,3,No,0,"$100,000 - $119,999",11,Joe Biden,1,Part-time,2,"The law should permit abortion for reasons other than rape,",3,Rarely,4,Both equally,2,Once or twice a month,4,A moderate amount,2,A little,4,About half the time,3,Somewhat easier,2,Somewhat favor,4,Somewhat favor,4,Somewhat favor,4,
61,Male,1,Hispanic,2,No,0,"$120,000 - $149,999",3,Joe Biden,1,Full-time,1,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Never,5,Reason and evidence,1,Never,1,A lot,1,A great deal,1,Never,5,A lot easier,1,Strongly favor,5,Strongly oppose,1,Strongly favor,5,
79,Female,2,White,3,Yes,1,"$60,000 - $69,999",7,Donald Trump,2,Retired,5,"The law should permit abortion for reasons other than rape,",3,Never,5,Both equally,2,Once a week,5,None at all,2,None at all,5,Most of the time,2,A lot harder,5,Somewhat favor,4,Strongly favor,5,Strongly oppose,1,
58,Male,1,White,3,No,0,"$60,000 - $69,999",7,Donald Trump,2,Temporarily laid off,9,Other,5,Never,5,Reason and evidence,1,Never,1,A little,1,A lot,2,Some of the time,4,Somewhat harder,4,Somewhat favor,4,Somewhat favor,4,Somewhat favor,4,
21,Male,1,White,3,Yes,1,"$10,000 - $19,999",2,Joe Biden,1,Unemployed,3,"By law, abortion should never be permitted.",1,Very often,2,Both equally,2,A few times a year,3,A moderate amount,2,A moderate amount,3,About half the time,3,A lot harder,5,Somewhat oppose,2,Neither favor nor oppose,3,Somewhat favor,4,
36,Male,1,White,3,No,0,"$50,000 - $59,999",6,Joe Biden,1,Full-time,1,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Never,1,A great deal,1,A little,4,Most of the time,2,Somewhat easier,2,Somewhat favor,4,Strongly oppose,1,Strongly favor,5,
55,Female,2,White,3,No,0,"$80,000 - $99,999",9,Donald Trump,2,Permanently disabled,7,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Rarely,4,Both equally,2,Once a week,5,None at all,2,None at all,5,Most of the time,2,A lot harder,5,Strongly oppose,1,Strongly favor,5,Strongly oppose,1,
73,Male,1,White,3,Yes,1,"$80,000 - $99,999",9,Joe Biden,1,Retired,5,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Once a week,5,A moderate amount,1,A little,4,Some of the time,4,A lot easier,1,Strongly favor,5,Somewhat favor,4,Somewhat favor,4,0
39,Male,1,White,3,Yes,1,"$250,000 - $349,999",6,Joe Biden,1,Full-time,1,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Moderately often,3,Reason and evidence,1,Never,1,A great deal,1,A great deal,1,About half the time,3,A lot easier,1,Somewhat favor,4,Strongly oppose,1,Strongly favor,5,
24,Male,1,White,3,No,0,"$40,000 - $49,999",5,Joe Biden,1,Full-time,1,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Rarely,4,Reason and evidence,1,Once a week,5,A great deal,1,A great deal,1,Some of the time,4,A lot easier,1,Strongly favor,5,Somewhat favor,4,Neither favor nor oppose,3,
24,Male,1,White,3,Yes,1,"$40,000 - $49,999",5,Joe Biden,1,Part-time,2,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Never,1,A great deal,1,A moderate amount,3,About half the time,3,Somewhat easier,2,Somewhat favor,4,Strongly oppose,1,Strongly favor,5,
76,Female,2,White,3,No,0,"$150,000 - $199,999",6,Joe Biden,1,Retired,5,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Both equally,2,Never,1,A moderate amount,2,A moderate amount,3,Some of the time,4,About the same,3,Strongly favor,5,Neither favor nor oppose,3,Neither favor nor oppose,3,
72,Male,1,White,3,Yes,1,"$250,000 - $349,999",6,Joe Biden,1,Retired,5,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Never,1,A great deal,1,A lot,2,Most of the time,2,Somewhat harder,4,Strongly favor,5,Neither favor nor oppose,3,Strongly favor,5,
24,Male,1,Hispanic,2,Yes,1,"$70,000 - $79,999",8,Joe Biden,1,Part-time,2,"The law should permit abortion for reasons other than rape,",3,Moderately often,3,Both equally,2,More than once a week,6,A great deal,2,A lot,2,Most of the time,2,About the same,3,Neither favor nor oppose,3,Somewhat favor,4,Neither favor nor oppose,3,
70,Male,1,White,3,No,0,"$100,000 - $119,999",11,Joe Biden,1,Full-time,1,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Seldom,2,A lot,1,A little,4,About half the time,3,Somewhat harder,4,Strongly favor,5,Somewhat favor,4,Somewhat favor,4,
34,Female,2,White,3,No,0,"$40,000 - $49,999",5,Donald Trump,2,Full-time,1,"By law, abortion should never be permitted.",1,Rarely,4,Both equally,2,More than once a week,6,None at all,2,None at all,5,Some of the time,4,About the same,3,Neither favor nor oppose,3,Strongly favor,5,Neither favor nor oppose,3,
48,Male,1,White,3,No,0,"$150,000 - $199,999",6,Joe Biden,1,Full-time,1,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Both equally,2,More than once a week,6,A lot,2,A moderate amount,3,Most of the time,2,Somewhat easier,2,Strongly favor,5,Neither favor nor oppose,3,Strongly favor,5,
39,Female,2,White,3,No,0,"$120,000 - $149,999",3,Joe Biden,1,Homemaker,6,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Both equally,2,Once or twice a month,4,A moderate amount,2,A moderate amount,3,Most of the time,2,A lot easier,1,Strongly favor,5,Neither favor nor oppose,3,Strongly favor,5,
54,Male,1,White,3,No,0,"$60,000 - $69,999",7,Donald Trump,2,Unemployed,3,"The law should permit abortion for reasons other than rape,",3,Never,5,Reason and evidence,1,Once or twice a month,4,A little,1,None at all,5,Most of the time,2,Somewhat easier,2,Neither favor nor oppose,3,Neither favor nor oppose,3,Neither favor nor oppose,3,
70,Male,1,White,3,No,0,"$100,000 - $119,999",11,Donald Trump,2,Retired,5,Other,5,Rarely,4,Reason and evidence,1,Never,1,A great deal,1,None at all,5,Most of the time,2,A lot harder,5,Somewhat favor,4,Somewhat favor,4,Neither favor nor oppose,3,
29,Female,2,Black,1,No,0,"$250,000 - $349,999",6,Joe Biden,1,Full-time,1,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Rarely,4,Both equally,2,Once a week,5,A great deal,2,A great deal,1,Most of the time,2,A lot easier,1,Somewhat favor,4,Somewhat favor,4,Strongly favor,5,
65,Female,2,Black,1,No,0,"$40,000 - $49,999",5,Joe Biden,1,Unemployed,3,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Once a week,5,A moderate amount,1,A little,4,Some of the time,4,Somewhat easier,2,Neither favor nor oppose,3,Neither favor nor oppose,3,Neither favor nor oppose,3,
52,Female,2,White,3,No,0,"$70,000 - $79,999",8,Donald Trump,2,Full-time,1,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Rarely,4,Reason and evidence,1,Never,1,A little,1,None at all,5,Some of the time,4,A lot harder,5,Somewhat oppose,2,Strongly favor,5,Strongly oppose,1,
42,Male,1,Black,1,No,0,"$20,000 - $29,999",3,Donald Trump,2,Part-time,2,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Never,5,Both equally,2,Never,1,A great deal,2,A moderate amount,3,Some of the time,4,A lot harder,5,Neither favor nor oppose,3,Neither favor nor oppose,3,Somewhat favor,4,
61,Female,2,White,3,No,0,"$80,000 - $99,999",9,Donald Trump,2,Other,8,"The law should permit abortion for reasons other than rape,",3,Rarely,4,Both equally,2,Never,1,A little,2,A little,4,Some of the time,4,A lot harder,5,Neither favor nor oppose,3,Neither favor nor oppose,3,Neither favor nor oppose,3,
64,Male,1,White,3,No,0,"$60,000 - $69,999",7,Donald Trump,2,Full-time,1,"The law should permit abortion for reasons other than rape,",3,Never,5,Reason and evidence,1,Once or twice a month,4,None at all,1,None at all,5,Some of the time,4,About the same,3,Strongly oppose,1,Strongly oppose,1,Strongly oppose,1,
57,Male,1,White,3,No,0,"$50,000 - $59,999",6,Donald Trump,2,Full-time,1,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Reason and evidence,1,Seldom,2,A little,1,None at all,5,Some of the time,4,About the same,3,Strongly oppose,1,Strongly oppose,1,Neither favor nor oppose,3,
20,Female,2,Hispanic,2,No,0,"$20,000 - $29,999",3,Donald Trump,2,Unemployed,3,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Moderately often,3,Both equally,2,Seldom,2,None at all,2,None at all,5,About half the time,3,A lot harder,5,Strongly oppose,1,Strongly oppose,1,Strongly oppose,1,
57,Male,1,White,3,No,0,"$250,000 - $349,999",6,Donald Trump,2,Full-time,1,Other,5,Rarely,4,Both equally,2,Never,1,A little,2,None at all,5,Most of the time,2,About the same,3,Somewhat oppose,2,Somewhat oppose,2,Strongly oppose,1,
56,Female,2,White,3,No,0,"$40,000 - $49,999",5,Donald Trump,2,Full-time,1,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Rarely,4,Religious beliefs,3,Once a week,5,A moderate amount,3,None at all,5,About half the time,3,A lot harder,5,Somewhat favor,4,Somewhat favor,4,Strongly favor,5,
62,Male,1,White,3,Yes,1,"$60,000 - $69,999",7,Donald Trump,2,Retired,5,"The law should permit abortion for reasons other than rape,",3,Rarely,4,Reason and evidence,1,Never,1,A little,1,None at all,5,Most of the time,2,A lot harder,5,Somewhat oppose,2,Somewhat favor,4,Somewhat favor,4,
43,Male,1,Hispanic,2,Yes,1,"$20,000 - $29,999",3,Joe Biden,1,Homemaker,6,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Very often,2,Reason and evidence,1,Never,1,A lot,1,A moderate amount,3,Most of the time,2,A lot easier,1,Somewhat favor,4,Somewhat oppose,2,Somewhat oppose,2,
73,Male,1,White,3,No,0,"$60,000 - $69,999",7,Donald Trump,2,Retired,5,"The law should permit abortion only in case of rape, incest, or when the woman's",2,Very often,2,Reason and evidence,1,Never,1,A moderate amount,1,None at all,5,Some of the time,4,About the same,3,Somewhat oppose,2,Strongly favor,5,Neither favor nor oppose,3,
83,Female,2,White,3,No,0,"$30,000 - $39,999",4,Donald Trump,2,Retired,5,"By law, a woman should always be able to obtain an abortion as a matter of perso",4,Rarely,4,Both equally,2,Once or twice a month,4,A little,2,None at all,5,Most of the time,2,Somewhat harder,4,Somewhat favor,4,Neither favor nor oppose,3,Somewhat oppose,2,
